X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.204442056197,34.0189539668429,620,211,,Public Safety,Probation Camps and Juvenile Halls,,,Behavioral Health Services Inc - Boyle Heights Recovery Center,3421 E. Olympic Blvd.,,Los Angeles,CA,"Monday through Thursday, 8:30am to 4:00pm. ","Intake and Information and Referral Service/Intake (323) 262-1786,  FAX (323) 262-2659",,www.bhs-inc.org/,,,888,The agency provides domestic violence services and substance abuse services for adolescents and adults who live in Los Angeles County.,90023,http://egis3.lacounty.gov/lms/?p=888,publish,34.018954,-118.204442,2013/06/01 11:50:56+00,,6499717.76717614,1829341.10373348
-118.485508056669,34.3148999664778,2114,211,,Public Safety,Probation Camps and Juvenile Halls,,probation.lacounty.gov/about/dsb.asp,Los Angeles County Probation Department - Juvenile Institutions - Detention Services Bureau - Barry J. Nidorf Juvenile Hall,16350 Filbert St.,,Sylmar,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake (818) 364-2011,,probation.lacounty.gov/about/dsb.asp,,,2296,"This bureau administers correctional programs for detained juveniles in Los Angeles County awaiting court proceedings, movement to camps, and placements.",91324,http://egis3.lacounty.gov/lms/?p=2296,publish,34.3149,-118.485508,2013/06/01 11:50:56+00,,6415066.3131198,1937332.3992334
-118.206005055929,34.0634009669386,2131,211,,Public Safety,Probation Camps and Juvenile Halls,,probation.lacounty.gov/about/dsb.asp,Los Angeles County Probation Department - Juvenile Institutions - Detention Services Bureau - Central Juvenile Hall,1605 Eastlake Ave.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake (323) 226-8611,,probation.lacounty.gov/about/dsb.asp,,,2362,"This bureau administers correctional programs for detained juveniles in Los Angeles County awaiting court proceedings, movement to camps, and placements.",90033,http://egis3.lacounty.gov/lms/?p=2362,publish,34.063401,-118.206005,2013/06/01 11:50:56+00,,6499277.27757156,1845517.17374347
-118.162192056249,33.9362599668647,2136,211,,Public Safety,Probation Camps and Juvenile Halls,,probation.lacounty.gov/about/dsb.asp,Los Angeles County Probation Department - Juvenile Institutions - Detention Services Bureau - Los Padrinos Juvenile Hall,7285 Quill Dr.,,Downey,CA,"SITE HOURS: Monday through Sunday, 24 hours per day. ","Service/Intake (562) 940-8681, Night Intake Service/Intake (562) 940-8685",,probation.lacounty.gov/about/dsb.asp,,,2372,"This bureau administers correctional programs for detained juveniles in Los Angeles County awaiting court proceedings, movement to camps, and placements.",90242,http://egis3.lacounty.gov/lms/?p=2372,publish,33.93626,-118.162192,2013/06/01 11:50:56+00,,6512472.31843863,1799223.70333847
-118.206279056598,34.0637829669597,2614,211,,Public Safety,Probation Camps and Juvenile Halls,,probation.co.la.ca.us,Los Angeles County Probation Department - Northeast Juvenile Justice Center,1601 Eastlake Ave.,,Los Angeles,CA,,"Sealing of Records Service/Intake (323) 226-2854, Reception Service/Intake (323) 226-8765",,probation.co.la.ca.us,,,2850,The center provides correctional programs for juveniles who live in a large section of the Northeast Los Angeles area who are involved in or are at risk of being involved in the Juvenile Justice System.,90033,http://egis3.lacounty.gov/lms/?p=2850,publish,34.063783,-118.206279,2013/06/01 11:50:56+00,,6499194.5759653,1845656.36080106
-118.256557056109,33.9705639674381,3093,211,,Public Safety,Probation Camps and Juvenile Halls,,probation.lacounty.gov,Los Angeles County Probation Department - Kenyon Juvenile Justice Center,7625 S. Central Ave.,,Los Angeles,CA,,"Service/Intake (323) 586-6091,  Service/Intake (323) 586-6073",,probation.lacounty.gov,,,3243,The center provides correctional programs for juveniles who live in parts of the South Central Los Angeles area who are involved in or at risk of being involved in the Juvenile Justice System.,90001,http://egis3.lacounty.gov/lms/?p=3243,publish,33.970564,-118.256557,2013/06/01 11:50:56+00,,6483880.31459914,1811767.25502297
-118.22349077727,34.7016830254893,3206,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County Probation,Camp Ellison Onizuka,5300 West Avenue I,Challenger Memorial Youth Center,Lancaster,CA,,(661) 940-4144 (Primary),,,,,3333,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93536,http://egis3.lacounty.gov/lms/?p=3333,publish,34.70168306,-118.22349072,2011/01/07 16:38:47+00,,6494497.81173681,2077812.5237844
-118.223469317448,34.7015242557555,3207,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County Probation,Camp Francis J. Scobee,5300 West Avenue I,Challenger Memorial Youth Center,Lancaster,CA,,(661) 940-4011,,,,,3334,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93536,http://egis3.lacounty.gov/lms/?p=3334,publish,34.70152429,-118.22346926,2011/01/07 16:54:12+00,,6494504.13324647,2077754.72829631
-118.223469317448,34.7015242557555,3208,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County Probation,Camp Gregory Jarvis,3500 W Avenue I,Challenger Memorial Youth Center,Lancaster,CA,,(661) 940-4111,,,,,3335,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93536,http://egis3.lacounty.gov/lms/?p=3335,publish,34.70152429,-118.22346926,2011/01/07 16:55:37+00,,6494504.13324647,2077754.72829631
-118.223469317448,34.7015242557555,3209,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County Probation,Camp Judith Resnik,5300 West Avenue I,Challenger Memorial Youth Center,Lancaster,CA,,(661) 940-4044,,,,,3336,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93536,http://egis3.lacounty.gov/lms/?p=3336,publish,34.70152429,-118.22346926,2011/01/07 16:56:34+00,,6494504.13324647,2077754.72829631
-118.223469317448,34.7015242557555,3210,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County Probation,Camp Michael Smith,5300 West Avenue I,Challenger Memorial Youth Center,Lancaster,CA,,(661) 940-4011,,,,,3337,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93536,http://egis3.lacounty.gov/lms/?p=3337,publish,34.70152429,-118.22346926,2011/01/07 16:58:19+00,,6494504.13324647,2077754.72829631
-118.223469317448,34.7015242557555,3211,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County Probation,Camp Ronald Mcnair,5300 West Avenue I,Challenger Memorial Youth Center,Lancaster,CA,,(661) 940-4146,,https://www.inmateaid.com/prisons/juvenile-camp-ronald-mcnair.html,,,3338,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93536,http://egis3.lacounty.gov/lms/?p=3338,publish,34.70152429,-118.22346926,2018/01/22 12:37:51+00,,6494504.13324647,2077754.72829631
-117.743160777495,34.1528867574764,3212,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Afflerbaugh,6631 N. Stephens Ranch Rd.,,La Verne,CA,"Monday through Friday, 8:00am to 5:00pm.",(909) 593-4937 (Primary),,,,,3339,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,91750,http://egis3.lacounty.gov/lms/?p=3339,publish,34.15288679,-117.74316072,2011/01/07 17:22:21+00,,6639376.39304206,1878118.07245231
