OBJECTID,Geo_UID,Grid_Num,longitude,latitude,Baseline,F_2050,F_2080,Temp_Exposure,Temp_Exposure_2080,Shape_Length,Shape_Area,Temp_Mid,Temp_Late,Shape__Area,Shape__Length
1,33.6875-118.125,437,-118.125,33.6875,88.0547,4.56,7.28,Low,Low,0.04813889,3.397725e-05,92.615,95.335,506377.16015625,5828.51655968941
2,33.6875-118.1875,413,-118.1875,33.6875,88.052,4.48,7.2,Low,Low,0.05241306,2.556324e-05,92.532,95.252,380947.0390625,6472.32164143935
3,33.6875-118.25,389,-118.25,33.6875,87.35,4.36,7.06,Low,Low,0.3355204,0.0004126415,91.71,94.41,6149175.1015625,40519.2059271632
4,33.6875-118.3125,365,-118.3125,33.6875,85.4807,4.13,6.94,Low,Low,0.4599186,0.001902446,89.611,92.421,28347557.125,56315.667081452
5,33.6875-118.375,341,-118.375,33.6875,83.5907,4.06,6.85,Low,Low,0.1901327,0.001460774,87.651,90.441,21767747.8945313,22769.9345082544
6,33.6875-118.4375,317,-118.4375,33.6875,84.326,4.01,6.81,Low,Low,0.1041966,0.0003702899,88.336,91.136,5518394.359375,12285.5734060507
7,33.75-118.125,438,-118.125,33.75,90.2867,4.71,7.4,Low,Low,0.3432862,0.002015336,94.997,97.687,30048513.3984375,41933.4370937422
8,33.75-118.1875,414,-118.1875,33.75,89.96,4.67,7.34,Low,Low,0.3276723,0.003340212,94.63,97.3,49802206.3632813,39913.29145078
9,33.75-118.25,390,-118.25,33.75,87.854,4.43,7.13,Low,Low,0.5665026,0.003487586,92.284,94.984,51998257.5664063,68664.928054684
10,33.75-118.3125,366,-118.3125,33.75,85.4807,4.1,6.95,Low,Low,0.4202926,0.003698793,89.581,92.431,55146350.96875,51543.5656625735
11,33.75-118.375,342,-118.375,33.75,83.624,4.02,6.85,Low,Low,0.25,0.00390625,87.644,90.474,58238768.625,30656.2962341906
12,33.75-118.4375,318,-118.4375,33.75,82.832,4.03,6.87,Low,Low,0.2208237,0.002388817,86.862,89.702,35613695.7148438,27123.3497781684
13,33.8125-118.0625,463,-118.0625,33.8125,91.202,4.89,7.65,Low,Low,0.1862627,0.0006974042,96.092,98.852,10407669.3671875,22653.562973518
14,33.8125-118.125,439,-118.125,33.8125,90.266,4.84,7.6,Low,Low,0.2447537,0.003842222,95.106,97.866,57326426.5664063,30015.1337625741
15,33.8125-118.1875,415,-118.1875,33.8125,89.384,4.67,7.42,Low,Low,0.25,0.00390625,94.054,96.804,58281229.2578125,30668.5064196884
16,33.8125-118.25,391,-118.25,33.8125,87.512,4.51,7.26,Low,Low,0.25,0.00390625,92.022,94.772,58281027.625,30668.4484607026
17,33.8125-118.3125,367,-118.3125,33.8125,85.3187,4.17,7.08,Low,Low,0.25,0.00390625,89.489,92.399,58281341.3945313,30668.5235667553
18,33.8125-118.375,343,-118.375,33.8125,84.6887,4.13,7,Low,Low,0.25,0.00390625,88.819,91.689,58281550.9726563,30668.5838136557
19,33.8125-118.4375,319,-118.4375,33.8125,83.12,4.11,7.06,Low,Low,0.2143429,0.001342578,87.23,90.18,20032525.8046875,26922.0075624459
20,33.875-118,488,-118,33.875,92.1227,5.04,7.89,Medium,Medium,0.1455868,0.0009636722,97.163,100.013,14390400.7617188,18455.2144304594
